boat_COG	boat_heading	boat_lat	boat_lon	boat_speed	datetime	skiff_COG	skiff_heading	skiff_lat	skiff_lon	skiff_speed
67.83	4.55590603559	60.868523333	-147.383655	1.945	2018-07-26 12:38:29	nan	nan	nan	nan	nan
76.04	6.81706983405	60.868546667	-147.383523333	1.379	2018-07-26 12:38:34	nan	nan	nan	nan	nan
69.03	4.8365473705	60.86856	-147.383416667	1.188	2018-07-26 12:38:39	nan	nan	nan	nan	nan
82.8	2.67427695008	60.868573333	-147.38334	0.864	2018-07-26 12:38:44	nan	nan	nan	nan	nan
85.79	2.21030704964	60.868578333	-147.383278333	0.504	2018-07-26 12:38:49	nan	nan	nan	nan	nan
91.99	3.65385697613	60.868573333	-147.383231667	0.478	2018-07-26 12:38:55	nan	nan	nan	nan	nan
71.46	5.75748413981	60.868578333	-147.383181667	0.53	2018-07-26 12:39:00	nan	nan	nan	nan	nan
59.83	4.290483578	60.868591667	-147.383128333	0.622	2018-07-26 12:39:05	nan	nan	nan	nan	nan
60.21	5.66679850106	60.868603333	-147.383083333	0.612	2018-07-26 12:39:09	nan	nan	nan	nan	nan
72.23	6.68709195656	60.868608333	-147.38303	0.535	2018-07-26 12:39:14	nan	nan	nan	nan	nan
79.57	6.18178542835	60.868611667	-147.382985	0.463	2018-07-26 12:39:19	nan	nan	nan	nan	nan
95.1	4.18804536863	60.8686	-147.382965	0.226	2018-07-26 12:39:25	nan	nan	nan	nan	nan
114.45	1.95610764637	60.868585	-147.382951667	0.252	2018-07-26 12:39:30	nan	nan	nan	nan	nan
115.27	5.51404541591	60.868575	-147.382943333	0.195	2018-07-26 12:39:35	nan	nan	nan	nan	nan
127.43	7.17622395098	60.868565	-147.382923333	0.298	2018-07-26 12:39:40	nan	nan	nan	nan	nan
93.86	6.73942253288	60.868558333	-147.382888333	0.478	2018-07-26 12:39:44	nan	nan	nan	nan	nan
84.14	2.19984244115	60.868553333	-147.382841667	0.658	2018-07-26 12:39:50	nan	nan	nan	nan	nan
78.62	2.31089532814	60.86855	-147.382785	0.669	2018-07-26 12:39:55	nan	nan	nan	nan	nan
72.23	4.29777621005	60.868565	-147.38269	0.9	2018-07-26 12:40:00	nan	nan	nan	nan	nan
74.47	5.5132726767	60.868581667	-147.382583333	1.091	2018-07-26 12:40:05	nan	nan	nan	nan	nan
68.84	5.54354797958	60.868598333	-147.382475	1.276	2018-07-26 12:40:10	nan	nan	nan	nan	nan
66.16	2.49197785977	60.868626667	-147.38235	1.446	2018-07-26 12:40:15	nan	nan	nan	nan	nan
